date,category,Installed_qty,Installed_qty_cumulative,budget
1/01/2010,piling,9,9,702
2/01/2010,piling,11,20,702
3/01/2010,piling,94,114,702
4/01/2010,piling,81,195,702
5/01/2010,piling,99,294,702
6/01/2010,piling,85,379,702
7/01/2010,piling,92,471,702
8/01/2010,piling,66,537,702
9/01/2010,piling,32,569,702
10/01/2010,piling,3,572,702
11/01/2010,piling,50,622,702
12/01/2010,piling,59,681,702
13/01/2010,piling,21,702,702
1/01/2010,excavation,48,48,565
2/01/2010,excavation,45,93,565
3/01/2010,excavation,3,96,565
4/01/2010,excavation,77,173,565
5/01/2010,excavation,11,184,565
6/01/2010,excavation,66,250,565
7/01/2010,excavation,56,306,565
8/01/2010,excavation,90,396,565
9/01/2010,excavation,70,466,565
10/01/2010,excavation,4,470,565
11/01/2010,excavation,1,471,565
12/01/2010,excavation,46,517,565
13/01/2010,excavation,48,565,565
1/01/2010,concrete,79,79,456
2/01/2010,concrete,17,96,456
3/01/2010,concrete,88,184,456
4/01/2010,concrete,8,192,456
5/01/2010,concrete,26,218,456
6/01/2010,concrete,61,279,456
7/01/2010,concrete,29,308,456
8/01/2010,concrete,27,335,456
9/01/2010,concrete,53,388,456
10/01/2010,concrete,68,456,456
11/01/2010,concrete,68,456,456
12/01/2010,concrete,68,456,456
13/01/2010,concrete,68,456,456
